time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
4 years,A682085,Cat,russian blue,blue,Winnie,Adoption,Spayed Female,Female,Yes,4,Cat,2010,6,7,False,
2 years,A692877,Cat,domestic shorthair,cream /white,Snowflake,Transfer,Neutered Male,Male,Yes,2,Cat,2012,11,12,True,tabby
7 years,A683856,Cat,russian blue,blue,Smoke,Adoption,Neutered Male,Male,Yes,7,Cat,2007,7,8,False,
1 month,A683517,Cat,domestic shorthair,,*Dora,Transfer,Intact Female,Female,No,1,Kitten,2014,6,7,True,calico
1 year,A688811,Cat,domestic mediumhair,brown,,Transfer,Intact Female,Female,No,1,Cat,2013,9,9,True,tabby
2 years,A680225,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Cat,2012,5,6,True,calico
2 months,A662912,Cat,domestic shorthair,chocolate,*Cosmo,Transfer,Neutered Male,Male,Yes,2,Kitten,2013,8,10,True,
4 weeks,A677218,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,4,Kitten,2014,3,4,True,tabby
3 months,A691708,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,3,Kitten,2014,8,11,True,tabby
1 year,A670066,Cat,domestic shorthair,,*Sophie,Adoption,Spayed Female,Female,Yes,1,Cat,2013,1,1,True,torbie
2 months,A667511,Cat,domestic mediumhair,brown,,Euthanasia,Intact Female,Female,No,2,Kitten,2013,9,11,True,tabby
6 years,A670656,Cat,domestic shorthair,blue /white,Mischief,Return to Owner,Neutered Male,Male,Yes,6,Cat,2008,1,1,True,tabby
2 years,A688674,Cat,domestic shorthair,black/white,,Transfer,Neutered Male,Male,Yes,2,Cat,2012,9,9,True,
2 weeks,A677633,Cat,domestic shorthair,black/white,,Euthanasia,Unknown,Female,Yes,2,Kitten,2014,4,4,True,
3 weeks,A688532,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,9,True,tabby
2 months,A687769,Cat,domestic shorthair,brown,*Rose,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,11,True,tabby
3 months,A678060,Cat,domestic shorthair,brown,,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,3,6,True,tabby
2 years,A688036,Cat,domestic shorthair,blue,,Transfer,Neutered Male,Male,Yes,2,Cat,2012,9,9,True,tabby
4 months,A663623,Cat,domestic shorthair,black,*Monkey,Adoption,Neutered Male,Male,Yes,4,Kitten,2013,6,10,True,
2 months,A691706,Cat,domestic longhair,brown,Lucy,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,10,12,True,tabby
1 year,A667028,Cat,domestic shorthair,orange,*Mike,Adoption,Neutered Male,Male,Yes,1,Cat,2012,11,11,True,tabby
2 years,A672190,Cat,domestic shorthair,brown,*Magnolia,Adoption,Spayed Female,Female,Yes,2,Cat,2012,2,5,True,tabby
2 months,A687138,Cat,domestic shorthair,white/black,*Winston,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,8,10,True,
5 months,A662261,Cat,domestic mediumhair,black/white,*Kim,Transfer,Neutered Male,Male,Yes,5,Kitten,2013,7,12,True,
3 months,A665799,Cat,domestic shorthair,orange,*Alley,Adoption,Neutered Male,Male,Yes,3,Kitten,2013,7,11,True,tabby
2 years,A673438,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,2,Cat,2012,2,2,True,tabby
1 month,A669140,Cat,domestic shorthair,orange,*Martin,Transfer,Intact Male,Male,No,1,Kitten,2013,10,12,True,tabby
8 years,A669576,Cat,domestic shorthair,brown /white,,Euthanasia,Intact Female,Female,No,8,Cat,2005,12,12,True,tabby
3 weeks,A685582,Cat,domestic shorthair,black/white,,Transfer,Intact Female,Female,No,3,Kitten,2014,7,8,True,
10 years,A684998,Cat,domestic shorthair,black/white,Tiki,Adoption,Neutered Male,Male,Yes,10,Cat,2004,8,10,True,
2 months,A664486,Cat,domestic shorthair,orange,*Taylor,Transfer,Intact Female,Female,No,2,Kitten,2013,8,10,True,tabby
3 weeks,A689192,Cat,domestic shorthair,blue /white,,Euthanasia,Intact Male,Male,No,3,Kitten,2014,9,9,True,tabby
8 years,A665019,Cat,domestic shorthair,,*Amber,Adoption,Spayed Female,Female,Yes,8,Cat,2005,10,12,True,torbie
4 weeks,A684110,Cat,domestic shorthair,orange /white,,Euthanasia,Intact Female,Female,No,4,Kitten,2014,6,7,True,tabby
3 years,A677014,Cat,domestic shorthair,blue/white,Jenny,Transfer,Spayed Female,Female,Yes,3,Cat,2011,4,6,True,
3 months,A677959,Cat,domestic shorthair,blue,,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,4,7,True,tabby
2 months,A680473,Cat,domestic shorthair,brown,*Libby,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,tabby
2 months,A690900,Cat,domestic shorthair,orange /white,Rainy,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,11,True,tabby
5 months,A664437,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,5,Kitten,2013,5,10,True,tabby
3 years,A683956,Cat,domestic shorthair,orange,,Adoption,Neutered Male,Male,Yes,3,Cat,2011,7,7,True,tabby
3 years,A690029,Cat,domestic shorthair,silver,,Transfer,Unknown,Female,Yes,3,Cat,2011,10,10,True,tabby
15 years,A678260,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,15,Cat,1999,5,5,True,tabby
1 year,A672918,Cat,domestic shorthair,brown,*Trinity,Adoption,Spayed Female,Female,Yes,1,Cat,2012,8,3,True,tabby
3 weeks,A681990,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,5,6,True,tabby
4 weeks,A683735,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,4,Kitten,2014,6,7,True,
2 weeks,A685607,Cat,siamese,flame,,Transfer,Intact Female,Female,No,2,Kitten,2014,7,8,False,point
10 months,A679736,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,10,Cat,2013,7,5,True,tabby
10 months,A671106,Cat,domestic longhair,black,,Transfer,Unknown,Female,Yes,10,Cat,2013,3,1,True,
11 months,A678573,Cat,domestic shorthair,orange /white,*Orville,Adoption,Neutered Male,Male,Yes,11,Cat,2013,6,6,True,tabby
1 year,A626164,Cat,domestic shorthair,black,Salem,Adoption,Neutered Male,Male,Yes,1,Cat,2012,4,1,True,
1 year,A669753,Cat,domestic shorthair,brown,*Ursula,Transfer,Unknown,Female,Yes,1,Cat,2012,12,1,True,tabby
2 months,A687770,Cat,domestic shorthair,,*Lily,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,11,True,torbie
3 years,A688206,Cat,domestic longhair,orange,Garfield,Transfer,Neutered Male,Male,Yes,3,Cat,2011,9,9,True,tabby
8 years,A667359,Cat,domestic shorthair,white/orange,Garfield,Return to Owner,Neutered Male,Male,Yes,8,Cat,2005,11,11,True,tabby
6 months,A686388,Cat,domestic shorthair,blue,Mina,Adoption,Spayed Female,Female,Yes,6,Cat,2014,3,9,True,
1 month,A684824,Cat,domestic shorthair,black/white,*Michonne,Transfer,Intact Female,Female,No,1,Kitten,2014,6,8,True,
5 months,A686978,Cat,siamese,seal,,Transfer,Intact Male,Male,No,5,Kitten,2014,3,8,False,point
2 months,A680663,Cat,domestic shorthair,,*Juliet,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,6,True,torbie
2 weeks,A681042,Cat,domestic shorthair,blue/white,,Transfer,Unknown,Female,Yes,2,Kitten,2014,5,6,True,
2 months,A680414,Cat,domestic shorthair,blue /white,*Twix,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
1 month,A683224,Cat,domestic shorthair,blue,,Euthanasia,Intact Male,Male,No,1,Kitten,2014,5,7,True,
2 weeks,A677631,Cat,domestic shorthair,black/white,,Transfer,Unknown,Female,Yes,2,Kitten,2014,4,4,True,
2 months,A677077,Cat,domestic mediumhair,orange,Novio,Adoption,Intact Male,Male,No,2,Kitten,2014,2,4,True,tabby
2 months,A682239,Cat,domestic shorthair,,*Rust,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,5,8,True,tortie
6 months,A693905,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,6,Cat,2014,6,12,True,calico
2 months,A680819,Cat,domestic mediumhair,cream,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,3,6,True,tabby
2 years,A692219,Cat,domestic shorthair,,Jelly Bean,Transfer,Spayed Female,Female,Yes,2,Cat,2012,11,11,True,calico
4 months,A688479,Cat,domestic shorthair,,Cathy,Return to Owner,Spayed Female,Female,Yes,4,Kitten,2014,5,9,True,tortie
1 month,A688741,Cat,domestic shorthair,,*Kanga,Transfer,Intact Female,Female,No,1,Kitten,2014,8,10,True,torbie
3 months,A664514,Cat,manx,brown /white,Zane,Adoption,Intact Male,Male,No,3,Kitten,2013,6,10,False,tabby
1 year,A671065,Cat,domestic shorthair,orange,Ron Weasley,Transfer,Neutered Male,Male,Yes,1,Cat,2012,7,1,True,tabby
1 month,A678248,Cat,domestic mediumhair,brown,,Transfer,Intact Male,Male,No,1,Kitten,2014,4,5,True,tabby
16 years,A670616,Cat,siamese,lynx,Laurel,Adoption,Spayed Female,Female,Yes,16,Cat,1998,1,2,False,point
2 months,A683161,Cat,domestic longhair,blue/white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,
4 years,A575091,Cat,siamese,lynx,Luna,Return to Owner,Spayed Female,Female,Yes,4,Cat,2010,4,12,False,point
2 months,A688074,Cat,domestic mediumhair,,Marley,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,6,9,True,calico
3 months,A664952,Cat,domestic shorthair,black,*Alice,Adoption,Spayed Female,Female,Yes,3,Kitten,2013,9,12,True,
3 years,A688011,Cat,domestic shorthair,blue,Cuddles,Return to Owner,Neutered Male,Male,Yes,3,Cat,2011,9,11,True,tabby
6 years,A644391,Cat,domestic shorthair,cream,*Pooh Bear,Adoption,Neutered Male,Male,Yes,6,Cat,2007,12,11,True,tabby
3 months,A688552,Cat,domestic longhair,brown,Tucker,Adoption,Intact Male,Male,No,3,Kitten,2014,8,12,True,tabby
3 weeks,A691086,Cat,domestic shorthair,cream,,Transfer,Unknown,Female,Yes,3,Kitten,2014,10,10,True,tabby
1 month,A678917,Cat,domestic shorthair,,*Louisa,Died,Intact Female,Female,No,1,Kitten,2014,4,5,True,torbie
1 year,A679999,Cat,domestic mediumhair,orange /white,,Transfer,Neutered Male,Male,Yes,1,Cat,2013,5,5,True,tabby
2 weeks,A677713,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,2,Kitten,2014,4,4,True,tabby
1 month,A664638,Cat,domestic longhair,black,*Minerva,Transfer,Intact Female,Female,No,1,Kitten,2013,8,10,True,smoke
8 months,A688558,Cat,domestic shorthair,orange,Tiney,Transfer,Spayed Female,Female,Yes,8,Cat,2014,1,10,True,tabby
9 months,A689477,Cat,domestic shorthair,,Buffy,Transfer,Spayed Female,Female,Yes,9,Cat,2014,1,10,True,tortie
10 months,A667144,Cat,domestic shorthair,,Delores,Adoption,Intact Female,Female,No,10,Cat,2013,1,11,True,calico
3 months,A689130,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,6,9,True,tabby
2 months,A687156,Cat,domestic mediumhair,brown,,Adoption,Intact Female,Female,No,2,Kitten,2014,6,9,True,tabby
3 months,A691709,Cat,domestic shorthair,brown,,Transfer,Spayed Female,Female,Yes,3,Kitten,2014,8,11,True,tabby
4 months,A665661,Cat,domestic shorthair,white/black,Julia,Adoption,Spayed Female,Female,Yes,4,Kitten,2013,8,12,True,
1 month,A679781,Cat,domestic shorthair,blue,Scout,Adoption,Intact Male,Male,No,1,Kitten,2014,4,6,True,tabby
4 months,A667187,Cat,domestic mediumhair,,,Transfer,Intact Female,Female,No,4,Kitten,2013,7,11,True,calico
3 days,A681701,Cat,domestic shorthair,brown /white,,Euthanasia,Intact Male,Male,No,3,Kitten,2014,6,6,True,tabby
4 months,A685901,Cat,ragdoll,,,Transfer,Intact Female,Female,No,4,Kitten,2014,4,8,False,tortie
1 month,A688808,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,1,Kitten,2014,8,9,True,
3 weeks,A677564,Cat,domestic shorthair,black,,Euthanasia,Intact Male,Male,No,3,Kitten,2014,4,4,True,
6 months,A686753,Cat,domestic shorthair,,*Truffle,Adoption,Spayed Female,Female,Yes,6,Cat,2014,2,9,True,tortie
1 month,A681157,Cat,domestic shorthair,black,,Euthanasia,Intact Male,Male,No,1,Kitten,2014,4,6,True,
3 weeks,A688748,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,9,9,True,tabby
1 year,A671184,Cat,domestic mediumhair,black,,Transfer,Intact Male,Male,No,1,Cat,2012,7,1,True,
3 months,A692887,Cat,domestic shorthair,blue,Moby Dixson,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,8,12,True,tabby
3 months,A691711,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,3,Kitten,2014,8,11,True,tabby
6 days,A679410,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,6,Kitten,2014,5,5,True,
1 year,A664283,Cat,domestic shorthair,black/white,Juliet,Adoption,Spayed Female,Female,Yes,1,Cat,2012,10,10,True,
2 years,A679085,Cat,siamese,lynx,*Elsa,Adoption,Neutered Male,Male,Yes,2,Cat,2012,5,5,False,point
1 year,A673970,Cat,domestic shorthair,orange/white,,Euthanasia,Intact Male,Male,No,1,Cat,2013,3,3,True,
6 years,A676600,Cat,domestic mediumhair,cream,Sassy,Return to Owner,Intact Female,Female,No,6,Cat,2008,4,4,True,tabby
2 years,A628628,Cat,domestic shorthair,,Nala,Adoption,Spayed Female,Female,Yes,2,Cat,2012,3,7,True,calico
1 year,A676541,Cat,domestic shorthair,,Tabs,Adoption,Spayed Female,Female,Yes,1,Cat,2013,4,5,True,calico
1 month,A678653,Cat,domestic mediumhair,,Kaleysee,Adoption,Spayed Female,Female,Yes,1,Kitten,2014,3,5,True,torbie
3 years,A678951,Cat,domestic shorthair,brown,Tiger,Adoption,Neutered Male,Male,Yes,3,Cat,2011,5,5,True,tabby
2 months,A668012,Cat,domestic shorthair,brown,*Baxter,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,10,12,True,tabby
3 weeks,A678837,Cat,domestic shorthair,/white,,Transfer,Intact Female,Female,No,3,Kitten,2014,4,5,True,torbie
1 year,A690090,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,1,Cat,2013,10,10,True,
4 years,A677443,Cat,domestic longhair,blue/white,,Adoption,Neutered Male,Male,Yes,4,Cat,2010,4,5,True,
1 year,A627272,Cat,domestic shorthair,orange /white,Odessa,Adoption,Spayed Female,Female,Yes,1,Cat,2012,4,3,True,tabby
4 years,A589009,Cat,domestic shorthair,black,Rogue Momo,Return to Owner,Neutered Male,Male,Yes,4,Cat,2010,7,12,True,
11 years,A693245,Cat,domestic mediumhair,orange /white,Billy,Return to Owner,Neutered Male,Male,Yes,11,Cat,2003,12,12,True,tabby
2 months,A679579,Cat,domestic shorthair,brown /white,*Suzie,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,tabby
4 months,A674688,Cat,domestic shorthair,black,Poppy,Adoption,Intact Female,Female,No,4,Kitten,2013,11,3,True,
10 years,A665668,Cat,domestic shorthair,white/black,Dylan,Adoption,Neutered Male,Male,Yes,10,Cat,2003,10,3,True,
3 months,A667007,Cat,domestic shorthair,black,*Azure,Transfer,Spayed Female,Female,Yes,3,Kitten,2013,9,12,True,
5 months,A675115,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,5,Kitten,2013,9,3,True,torbie
2 months,A664442,Cat,domestic shorthair,black,*Candy Corn,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,8,10,True,
3 years,A689499,Cat,domestic longhair,white,Kitty,Adoption,Spayed Female,Female,Yes,3,Cat,2011,10,10,True,
5 weeks,A666677,Cat,domestic shorthair,orange /white,*Max,Died,Intact Male,Male,No,5,Kitten,2013,10,11,True,tabby
2 months,A674737,Cat,domestic shorthair,black,*Byron,Adoption,Intact Male,Male,No,2,Kitten,2014,3,5,True,
9 months,A674564,Cat,domestic shorthair,,Sirus,Transfer,Spayed Female,Female,Yes,9,Cat,2013,6,3,True,torbie
1 week,A676440,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,1,Kitten,2014,4,4,True,tabby
2 months,A662822,Cat,domestic shorthair,,*Kera,Transfer,Spayed Female,Female,Yes,2,Kitten,2013,8,11,True,tortie
4 weeks,A677216,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,4,Kitten,2014,3,4,True,
1 week,A687041,Cat,domestic shorthair,,,Transfer,Intact Male,Male,No,1,Kitten,2014,8,8,True,torbie
1 month,A689349,Cat,siamese,,*Michonne,Transfer,Intact Female,Female,No,1,Kitten,2014,8,10,False,tortie
1 year,A668549,Cat,siamese,flame,*Dasher,Transfer,Neutered Male,Male,Yes,1,Cat,2012,12,12,False,point
1 year,A635698,Cat,domestic mediumhair,black,*Taco,Adoption,Neutered Male,Male,Yes,1,Cat,2012,6,10,True,
3 months,A687495,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,5,9,True,
3 months,A664070,Cat,domestic shorthair,white/blue,,Transfer,Neutered Male,Male,Yes,3,Kitten,2013,7,10,True,
8 months,A668908,Cat,domestic shorthair,white/blue,Hero,Return to Owner,Neutered Male,Male,Yes,8,Cat,2013,4,12,True,tabby
2 years,A668683,Cat,domestic shorthair,black/white,*Joe,Adoption,Neutered Male,Male,Yes,2,Cat,2011,12,12,True,
8 years,A676213,Cat,domestic shorthair,,Buddy Buddy,Transfer,Spayed Female,Female,Yes,8,Cat,2006,4,4,True,calico
5 years,A674396,Cat,siamese,,*Bonnie,Transfer,Spayed Female,Female,Yes,5,Cat,2009,3,3,False,tortie
2 months,A686214,Cat,domestic shorthair,white/black,*Sam,Transfer,Neutered Male,Male,Yes,2,Kitten,2014,7,10,True,
1 year,A683238,Cat,domestic shorthair,cream,*Adam,Transfer,Neutered Male,Male,Yes,1,Cat,2013,7,8,True,tabby
4 months,A680461,Cat,domestic shorthair,white/black,*Georgia,Adoption,Spayed Female,Female,Yes,4,Kitten,2014,5,9,True,
2 months,A677282,Cat,domestic shorthair,black,*Castor,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,3,5,True,
8 months,A665145,Cat,domestic shorthair,cream,*Stefan,Adoption,Neutered Male,Male,Yes,8,Cat,2013,4,12,True,tabby
1 year,A686795,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,1,Cat,2013,2,8,True,
5 weeks,A688059,Cat,domestic shorthair,brown,*Tina,Euthanasia,Intact Female,Female,No,5,Kitten,2014,8,9,True,tabby
2 months,A688519,Cat,domestic shorthair,cream,Sage,Adoption,Intact Female,Female,No,2,Kitten,2014,7,10,True,tabby
2 years,A682075,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,2,Cat,2012,6,6,True,tabby
1 year,A679737,Cat,domestic mediumhair,black/white,,Transfer,Unknown,Female,Yes,1,Cat,2013,5,5,True,
3 weeks,A679717,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2014,5,5,True,torbie
10 years,A672589,Cat,domestic mediumhair,orange,,Euthanasia,Neutered Male,Male,Yes,10,Cat,2004,2,2,True,tabby
3 months,A672516,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2013,11,2,True,tabby
1 year,A666154,Cat,domestic shorthair,,Gizmo,Adoption,Spayed Female,Female,Yes,1,Cat,2012,10,12,True,calico
1 year,A670830,Cat,domestic shorthair,,*Baby,Adoption,Spayed Female,Female,Yes,1,Cat,2013,1,1,True,torbie
8 months,A674282,Cat,domestic shorthair,brown,*Bobby,Adoption,Neutered Male,Male,Yes,8,Cat,2013,7,4,True,tabby
3 weeks,A683186,Cat,domestic shorthair,white/blue,,Transfer,Intact Male,Male,No,3,Kitten,2014,6,7,True,
2 months,A691275,Cat,domestic shorthair,brown,*Cinnamon,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,9,12,True,tabby
5 years,A674726,Cat,domestic shorthair,blue/white,Mittens,Return to Owner,Neutered Male,Male,Yes,5,Cat,2009,3,3,True,
2 months,A685949,Cat,domestic mediumhair,black/white,*Lexi,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,5,8,True,
8 months,A670892,Cat,domestic mediumhair,black/white,*Faith,Adoption,Spayed Female,Female,Yes,8,Cat,2013,5,1,True,
6 months,A678198,Cat,domestic longhair,,Sassy,Transfer,Spayed Female,Female,Yes,6,Cat,2013,11,5,True,tortie
3 weeks,A689268,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,9,10,True,
2 months,A679696,Cat,domestic shorthair,,*Jenna,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,torbie
1 year,A682837,Cat,domestic shorthair,blue,Trouble,Transfer,Intact Male,Male,No,1,Cat,2013,7,7,True,tabby
3 days,A681531,Cat,domestic longhair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,6,6,True,
9 months,A676170,Cat,domestic shorthair,orange,Chuy,Adoption,Neutered Male,Male,Yes,9,Cat,2013,7,4,True,tabby
1 year,A688321,Cat,domestic shorthair,orange /white,*Jenny,Euthanasia,Spayed Female,Female,Yes,1,Cat,2013,9,9,True,tabby
2 years,A678650,Cat,siamese,seal,Evans,Return to Owner,Neutered Male,Male,Yes,2,Cat,2012,5,5,False,point
3 months,A686466,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,8,True,tabby
3 months,A679923,Cat,domestic shorthair,brown,Tifa,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,4,7,True,tabby
2 years,A668405,Cat,domestic shorthair,orange /white,Ceelo,Return to Owner,Neutered Male,Male,Yes,2,Cat,2011,12,12,True,tabby
4 months,A669603,Cat,siamese,flame,*Gimpy Cb,Euthanasia,Intact Female,Female,No,4,Kitten,2013,8,12,False,point
2 days,A682002,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Kitten,2014,6,6,True,calico
2 months,A685147,Cat,domestic shorthair,brown /white,Luke,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,7,9,True,tabby
3 days,A675482,Cat,domestic shorthair,blue/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,3,3,True,
1 year,A669791,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Cat,2012,12,12,True,tortie
1 year,A689965,Cat,domestic shorthair,brown,,Euthanasia,Intact Male,Male,No,1,Cat,2013,10,10,True,tabby
7 months,A688158,Cat,domestic mediumhair,,,Transfer,Spayed Female,Female,Yes,7,Cat,2014,2,9,True,torbie
1 month,A688809,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,1,Kitten,2014,8,9,True,
1 year,A675125,Cat,domestic shorthair,blue,,Euthanasia,Intact Female,Female,No,1,Cat,2013,3,3,True,tabby
3 weeks,A689193,Cat,domestic shorthair,blue,,Euthanasia,Intact Male,Male,No,3,Kitten,2014,9,9,True,tabby
3 weeks,A683797,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,6,7,True,tabby
2 years,A678823,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,2,Cat,2012,5,5,True,tabby
5 years,A627604,Cat,snowshoe/domestic shorthair,white/seal,*S'Mores,Transfer,Neutered Male,Male,Yes,5,Cat,2009,5,11,True,point
1 year,A688096,Cat,domestic shorthair,white,Khloe,Adoption,Spayed Female,Female,Yes,1,Cat,2013,3,9,True,
3 years,A679292,Cat,domestic shorthair,black/white,,Died,Intact Male,Male,No,3,Cat,2011,5,5,True,
5 days,A687682,Cat,domestic shorthair,blue,,Transfer,Unknown,Female,Yes,5,Kitten,2014,9,9,True,tabby
1 month,A689146,Cat,domestic shorthair,/,,Euthanasia,Intact Female,Female,No,1,Kitten,2014,8,10,True,tortie
3 weeks,A679452,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,5,True,tabby
2 months,A674929,Cat,domestic shorthair,brown /white,*Sugar,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,2,4,True,tabby
4 weeks,A680094,Cat,domestic shorthair,black/white,,Euthanasia,Unknown,Female,Yes,4,Kitten,2014,4,5,True,
2 months,A683657,Cat,domestic shorthair,blue,Spruce,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
2 years,A668746,Cat,domestic mediumhair,blue,Luckey,Adoption,Intact Male,Male,No,2,Cat,2011,12,12,True,tabby
4 months,A687017,Cat,domestic shorthair,orange /white,,Transfer,Intact Female,Female,No,4,Kitten,2014,4,8,True,tabby
1 year,A675462,Cat,domestic shorthair,black,Pia,Adoption,Spayed Female,Female,Yes,1,Cat,2013,3,4,True,
3 months,A668328,Cat,domestic shorthair,brown,*Sophie,Adoption,Spayed Female,Female,Yes,3,Kitten,2013,8,12,True,tabby
1 year,A671160,Cat,domestic shorthair,,,Transfer,Spayed Female,Female,Yes,1,Cat,2013,1,1,True,calico
7 months,A665084,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,7,Cat,2013,2,10,True,tortie
4 months,A689634,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,4,Kitten,2014,6,10,True,
